category_name,date,YEARS,MONTHS,Total_value
AMERICAN VODKAS,2021-09-03,2021,9,263372.79
AMERICAN VODKAS,2023-04-10,2023,4,263275.57
AMERICAN VODKAS,2023-02-13,2023,2,263186.98
CANADIAN WHISKIES,2021-12-28,2021,12,263112.48
AMERICAN VODKAS,2023-04-04,2023,4,262974.12
AMERICAN VODKAS,2023-09-09,2023,9,262939.85
AMERICAN VODKAS,2023-03-29,2023,3,262938.21
AMERICAN VODKAS,2022-09-01,2022,9,262710.9
AMERICAN VODKAS,2021-12-10,2021,12,262052.11
AMERICAN VODKAS,2023-02-01,2023,2,261782.99
AMERICAN VODKAS,2021-07-28,2021,7,261690.19
AMERICAN VODKAS,2022-02-08,2022,2,261447.73
AMERICAN VODKAS,2021-02-03,2021,2,261399.52
AMERICAN VODKAS,2023-04-17,2023,4,261370.1
AMERICAN VODKAS,2023-06-09,2023,6,261128.82
AMERICAN VODKAS,2021-05-28,2021,5,261018.93
STRAIGHT BOURBON WHISKIES,2023-12-07,2023,12,260960.0
CANADIAN WHISKIES,2023-12-12,2023,12,260921.53
AMERICAN VODKAS,2022-07-21,2022,7,260610.93
CANADIAN WHISKIES,2023-09-06,2023,9,260581.08
AMERICAN VODKAS,2023-09-05,2023,9,260473.15
AMERICAN VODKAS,2022-09-07,2022,9,260460.97
AMERICAN VODKAS,2023-11-29,2023,11,260433.36
AMERICAN VODKAS,2023-04-06,2023,4,260223.59
AMERICAN VODKAS,2023-05-09,2023,5,260044.5
AMERICAN VODKAS,2022-05-20,2022,5,259635.21
CANADIAN WHISKIES,2023-10-04,2023,10,259357.83
AMERICAN VODKAS,2022-11-21,2022,11,259339.85
AMERICAN VODKAS,2021-12-21,2021,12,259179.85
AMERICAN VODKAS,2021-05-20,2021,5,259106.73
CANADIAN WHISKIES,2022-02-10,2022,2,258922.55
AMERICAN VODKAS,2022-07-28,2022,7,258777.0
AMERICAN VODKAS,2021-07-30,2021,7,258683.14
AMERICAN VODKAS,2022-03-25,2022,3,258429.91
CANADIAN WHISKIES,2023-10-10,2023,10,258276.85
CANADIAN WHISKIES,2022-09-07,2022,9,258168.69
AMERICAN VODKAS,2021-11-11,2021,11,258089.16
CANADIAN WHISKIES,2022-12-21,2022,12,258012.56
AMERICAN VODKAS,2021-10-06,2021,10,257756.19
CANADIAN WHISKIES,2023-02-03,2023,2,257578.19
